doc_id,source_page,gov_id,fiscal_year,doc_type,department_printed,line_description,line_kind,amount,amount_kind,units,division,fund,org,sbcl,account,pay_range,flags
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Barton School,School Budget,school_summary,3959699.0,adopted,34.38,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Barton School,School Budget,school_summary,4495504.0,proposed,39.05,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Barton School,Enrollment,enrollment,,adopted,241.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Barton School,Enrollment,enrollment,,proposed,222.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Bay View HS,School Budget,school_summary,11981400.0,adopted,91.45,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Bay View HS,School Budget,school_summary,11246774.0,proposed,87.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Bay View HS,Enrollment,enrollment,,adopted,916.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Bay View HS,Enrollment,enrollment,,proposed,864.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Bay View Montessori,School Budget,school_summary,4823558.0,adopted,41.35,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Bay View Montessori,School Budget,school_summary,5521068.0,proposed,47.95,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Bay View Montessori,Enrollment,enrollment,,adopted,516.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Bay View Montessori,Enrollment,enrollment,,proposed,530.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Bethune Academy,School Budget,school_summary,7617673.0,adopted,65.26,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Bethune Academy,School Budget,school_summary,8191345.0,proposed,69.15,,,,,,,
