doc_id,gov_id,fiscal_year,doc_type,department_printed,division,fund,org,sbcl,account,line_description,line_kind,pay_range,amount,amount_kind,units,flags,source_page
city-2026-adopted-detailed,city,2025,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),0001,1510,R999,634000,Professional Services,expenditure,,233725.0,budget,,,24
city-2026-adopted-detailed,city,2026,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),0001,1510,R999,634000,Professional Services,expenditure,,273725.0,adopted,,,24
city-2026-adopted-detailed,city,2024,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),0001,1510,R999,634500,Information Technology Services,expenditure,,3281018.0,actual,,,24
city-2026-adopted-detailed,city,2025,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),0001,1510,R999,634500,Information Technology Services,expenditure,,4055535.0,budget,,,24
city-2026-adopted-detailed,city,2026,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),0001,1510,R999,634500,Information Technology Services,expenditure,,4812421.0,adopted,,,24
city-2026-adopted-detailed,city,2024,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),0001,1510,R999,635000,Property Services,expenditure,,533340.0,actual,,,24
city-2026-adopted-detailed,city,2025,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),0001,1510,R999,635000,Property Services,expenditure,,76900.0,budget,,,24
city-2026-adopted-detailed,city,2026,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),0001,1510,R999,635000,Property Services,expenditure,,69500.0,adopted,,,24
city-2026-adopted-detailed,city,2024,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),0001,1510,R999,635500,Infrastructure Services,expenditure,,84570.0,actual,,,24
city-2026-adopted-detailed,city,2024,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),0001,1510,R999,636000,Vehicle Repair Services,expenditure,,2900.0,actual,,,24
city-2026-adopted-detailed,city,2025,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),0001,1510,R999,636000,Vehicle Repair Services,expenditure,,3000.0,budget,,,24
city-2026-adopted-detailed,city,2026,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),0001,1510,R999,636000,Vehicle Repair Services,expenditure,,3000.0,adopted,,,24
city-2026-adopted-detailed,city,2024,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),0001,1510,R999,636500,Other Operating Services,expenditure,,255572.0,actual,,,24
city-2026-adopted-detailed,city,2025,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),0001,1510,R999,636500,Other Operating Services,expenditure,,179100.0,budget,,,24
city-2026-adopted-detailed,city,2026,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),0001,1510,R999,636500,Other Operating Services,expenditure,,195312.0,adopted,,,24
city-2026-adopted-detailed,city,2024,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),0001,1510,R999,637000,Loans and Grants,expenditure,,126055.0,actual,,,24
city-2026-adopted-detailed,city,2024,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),0001,1510,R999,637501,Reimburse Other Departments,expenditure,,82661.0,actual,,,24
city-2026-adopted-detailed,city,2025,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),0001,1510,R999,637501,Reimburse Other Departments,expenditure,,73550.0,budget,,,24
city-2026-adopted-detailed,city,2026,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),0001,1510,R999,637501,Reimburse Other Departments,expenditure,,48135.0,adopted,,,24
city-2026-adopted-detailed,city,2024,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),0001,1510,R999,006300,OPERATING EXPENDITURES TOTAL*,total,,4815675.0,actual,,,24
city-2026-adopted-detailed,city,2025,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),0001,1510,R999,006300,OPERATING EXPENDITURES TOTAL*,total,,4718510.0,budget,,,24
city-2026-adopted-detailed,city,2026,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),0001,1510,R999,006300,OPERATING EXPENDITURES TOTAL*,total,,5442093.0,adopted,,,24
city-2026-adopted-detailed,city,2024,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),0001,1510,R999,006800,EQUIPMENT PURCHASES TOTAL*,total,,10556.0,actual,,,24
city-2026-adopted-detailed,city,2025,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),0001,1510,R999,006800,EQUIPMENT PURCHASES TOTAL*,total,,25000.0,budget,,,24
city-2026-adopted-detailed,city,2026,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),0001,1510,R999,006800,EQUIPMENT PURCHASES TOTAL*,total,,25000.0,adopted,,,24
city-2026-adopted-detailed,city,2024,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),,,,,SPECIAL FUNDS,total,,3090518.0,actual,,,24
city-2026-adopted-detailed,city,2025,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),,,,,SPECIAL FUNDS,total,,4021079.0,budget,,,24
city-2026-adopted-detailed,city,2026,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),,,,,SPECIAL FUNDS,total,,2786792.0,adopted,,,24
city-2026-adopted-detailed,city,2024,adopted,Department Of Administration,Budgetary Control Unit,,,,,TOTAL (1 BCU=10 DU),total,,12514159.0,actual,,,24
city-2026-adopted-detailed,city,2025,adopted,Department Of Administration,Budgetary Control Unit,,,,,TOTAL (1 BCU=10 DU),total,,25872439.0,budget,,,24
city-2026-adopted-detailed,city,2026,adopted,Department Of Administration,Budgetary Control Unit,,,,,TOTAL (1 BCU=10 DU),total,,22942789.0,adopted,,,24
city-2026-adopted-detailed,city,2025,adopted,Department Of Administration,Office Of The Director,,,,,Administration Director (Y)(CCR),position,1OX,172572.0,budget,1.0,Y|CCR,25
city-2026-adopted-detailed,city,2026,adopted,Department Of Administration,Office Of The Director,,,,,Administration Director (Y)(CCR)(B),position,1UX,172572.0,adopted,1.0,Y|CCR|B,25
city-2026-adopted-detailed,city,2025,adopted,Department Of Administration,Office Of The Director,,,,,Administration Deputy Director (Y),position,1QX,165915.0,budget,1.0,Y,25
city-2026-adopted-detailed,city,2026,adopted,Department Of Administration,Office Of The Director,,,,,Administration Deputy Director (Y),position,1QX,165916.0,adopted,1.0,Y,25
city-2026-adopted-detailed,city,2026,adopted,Department Of Administration,Office Of The Director,,,,,Program Assistant III,position,5IN,68621.0,adopted,1.0,,25
city-2026-adopted-detailed,city,2025,adopted,Department Of Administration,Office Of The Director,,,,,Brand and Creative Services Officer,position,2MX,113622.0,budget,1.0,,25
city-2026-adopted-detailed,city,2026,adopted,Department Of Administration,Office Of The Director,,,,,Brand and Creative Services Officer,position,2MX,113622.0,adopted,1.0,,25
city-2026-adopted-detailed,city,2025,adopted,Department Of Administration,Office Of The Director,,,,,Community Outreach Coordinator (X),position,2HX,64930.0,budget,1.0,X,25
city-2026-adopted-detailed,city,2026,adopted,Department Of Administration,Office Of The Director,,,,,Community Outreach Coordinator (X),position,2KX,87130.0,adopted,1.0,X,25
city-2026-adopted-detailed,city,2025,adopted,Department Of Administration,Office Of The Director,,,,,Administrative Specialist Senior,position,2GX,66992.0,budget,1.0,,25
city-2026-adopted-detailed,city,2025,adopted,Department Of Administration,Office Of The Director,,,,,Administrative Services Manager,position,1IX,98272.0,budget,1.0,,25
city-2026-adopted-detailed,city,2026,adopted,Department Of Administration,Office Of The Director,,,,,Administrative Services Manager,position,1IX,116656.0,adopted,1.0,,25
